src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
140.116.82.53,192.168.65.40,443,55941,a8:5e:45:3d:65:38,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:37,481970.0,414623.31680395047,157.6861630391933,116.18980434466876,41.49635869452455,56,20,198451,1385,16114.0,60.0,3543.7678571428573,4931.983533134483,97.0,60.0,69.25,16.021469970012117,16114,60,2629.4210526315787,4501.581860165082,20264239.243767314,1120,400,20,56,6426.266666666666,110096.0,41.0,18637.668365854017,481970.0,132390.0,88.0,8763.09090909091,25301.801868478367,349477.0,147470.0,3515.0,18393.526315789473,32800.363737341984,0,0,0,0,1,0,0,0,0,0,0,0.35714285714285715,2629.4210526315787,128,4106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12600.25,10.75,0.0,0.0,946533.203125,0.0,3543.7678571428573,69.25,0,56,20,198451,1385
198.244.143.252,192.168.65.16,10799,48140,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-05-10 06:30:37,939508.0,2456.604946418764,6.386321351175296,3.193160675587648,3.193160675587648,3,3,1995,313,1514.0,66.0,665.0,617.0094542765668,181.0,66.0,104.33333333333333,54.21151989096864,1514,66,384.6666666666667,520.006303380599,270406.5555555555,60,60,20,2,187901.6,635577.0,95.0,242293.8087096738,899265.0,635577.0,263688.0,449632.5,185944.5,939413.0,929576.0,9837.0,469706.5,459869.5,0,0,0,0,1,0,0,0,0,0,0,1.0,384.6666666666667,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,104.33333333333333,0,3,3,1995,313
198.244.143.252,192.168.65.16,10799,48162,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-05-10 06:30:37,333889.0,4228.950339783581,20.96505125955033,11.980029291171617,8.985021968378712,4,3,1128,284,696.0,66.0,282.0,257.40629362935164,152.0,66.0,94.66666666666667,40.54078878802873,696,66,201.71428571428572,217.16466055948968,47160.489795918365,80,60,20,2,55648.166666666664,280430.0,59.0,101549.95449107247,292446.0,281898.0,884.0,97482.0,130451.05823513532,324166.0,322757.0,1409.0,162083.0,160674.0,0,0,0,0,1,0,0,0,0,0,0,0.75,201.71428571428572,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,94.66666666666667,0,4,3,1128,284
140.116.82.53,140.116.82.55,719,2049,a8:5e:45:3d:65:38,00:11:32:17:94:ff,6,2022-05-10 06:30:37,9266516.0,1059838.4549273967,232.77356883644296,92.37560265368344,140.39796618275952,856,1301,9492292,328718,50782.0,66.0,11089.126168224298,10717.791752042785,11650.0,66.0,252.66564181398923,861.9702096012139,50782,66,4553.087621696801,8610.58369992568,74142151.65342581,17120,26020,20,726,4298.002782931354,869492.0,-6.0,38003.377583391426,9266516.0,869492.0,0.0,10838.030409356725,59894.18530315694,9154930.0,973190.0,0.0,7042.253846153846,55970.947979013254,0,0,0,0,1,0,0,0,0,0,0,1.519859813084112,4553.087621696801,2048,24576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107009.51515151515,7.318181818181818,10225.882352941177,7.352941176470588,83085831.25499977,1322822.1829914167,11089.126168224298,252.66564181398923,0,856,1301,9492292,328718
198.244.143.252,192.168.65.16,10799,48148,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-05-10 06:30:37,43357.0,15360.841386627304,46.128652812694604,23.064326406347302,23.064326406347302,1,1,600,66,600.0,600.0,600.0,0.0,66.0,66.0,66.0,0.0,600,66,333.0,267.0,71289.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,333.0,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,66.0,0,1,1,600,66
192.168.65.16,198.244.143.252,43658,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:37,3719758.0,5265.127462592996,8.06504079028797,3.763685702134386,4.301355088153584,14,16,12300,7285,2962.0,66.0,878.5714285714286,1155.8187397614188,2962.0,66.0,455.3125,777.9786082173147,2962,66,652.8333333333334,995.3975448142427,990816.2722222223,280,320,20,7,128267.5172413793,2685103.0,0.0,491469.0338994338,3719758.0,2685103.0,0.0,286135.23076923075,708000.4376263482,3430495.0,2956085.0,0.0,228699.66666666666,733439.4858073991,0,0,0,0,1,0,0,0,0,0,0,1.1428571428571428,652.8333333333334,513,1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11011.0,6.0,5635.0,6.0,40633.845177337156,12699.02081197111,878.5714285714286,455.3125,0,14,16,12300,7285
198.244.143.252,192.168.65.16,10799,48154,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-05-10 06:30:37,8847237.0,228.31986980794116,0.7912074696314794,0.452118554075131,0.3390889155563483,4,3,1736,284,1514.0,66.0,434.0,623.6152660094202,152.0,66.0,94.66666666666667,40.54078878802873,1514,66,288.57142857142856,501.12868525327264,251129.95918367358,80,60,20,2,1474539.5,8552592.0,2.0,3166650.814423642,8804637.0,8552592.0,2.0,2934879.0,3973655.385091247,8847206.0,8846230.0,976.0,4423603.0,4422627.0,0,0,0,0,1,0,0,0,0,0,0,0.75,288.57142857142856,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,94.66666666666667,0,4,3,1736,284
198.244.143.252,192.168.65.16,10799,48164,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-05-10 06:30:37,289437.0,7701.1577649022065,44.91478283702498,31.094849656401912,13.819933180623071,9,4,1851,378,696.0,66.0,205.66666666666666,221.67994947671744,127.0,66.0,94.5,28.64000698323937,696,66,171.46153846153845,192.10999068426932,36906.24852071005,180,80,20,5,24119.75,281197.0,0.0,77534.7106292025,289437.0,281265.0,0.0,36179.625,92660.16581295533,7405.0,7064.0,31.0,2468.3333333333335,3251.6226034943775,0,0,0,0,1,0,0,0,0,0,0,0.4444444444444444,171.46153846153845,501,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,4.0,0.0,0.0,85492.22797927461,0.0,205.66666666666666,94.5,0,9,4,1851,378
192.168.65.16,198.244.143.252,48166,10799,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-05-10 06:30:37,1496003.0,7827.5244100446325,27.406362153017074,13.368957147813207,14.037405005203867,20,21,3751,7959,676.0,66.0,187.55,202.2937159182163,1514.0,66.0,379.0,468.0664381006082,1514,66,285.609756097561,375.9454992966453,141335.01844140395,400,420,20,9,37400.075,251334.0,0.0,86116.0301449119,1263220.0,256450.0,9.0,66485.26315789473,109092.70383574652,1244669.0,245329.0,0.0,62233.45,103260.51776815522,0,0,0,0,1,0,0,0,0,0,0,1.05,285.609756097561,64240,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4570.0,4.0,0.0,2090576.395242452,187.55,379.0,0,20,21,3751,7959
192.168.65.21,192.168.65.255,54915,54915,d8:bb:c1:58:a5:58,ff:ff:ff:ff:ff:ff,17,2022-05-10 06:30:37,8999818.0,338.8957421138961,1.1111335807012988,1.1111335807012988,0.0,10,0,3050,0,305.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,305,305,305.0,0.0,0.0,80,0,8,10,999979.7777777778,1004007.0,995959.0,2995.1574908611615,8999818.0,1004007.0000000001,995959.0,999979.7777777778,2995.1574908611997,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0,10,0,3050,0
